央视,#genre#

CCTV-1综合,https://event.pull.hebtv.com/jishi/cp3.m3u8
CCTV-1综合,http://cdn.jdshipin.com:8880/ysp.php?id=cctv1
CCTV-2财经,https://stream1.freetv.fun/27af228d152b7e337c7fa18bd91a46877cf03ffc1c25f3667759c0931b44ccd2.m3u8
CCTV-2财经,https://stream1.freetv.fun/df533bc2427ac82957ccf8e9bcb9706fd8b095581e28146416de172d70b65dc0.m3u8
CCTV-4中文国际,https://stream1.freetv.fun/6a0339d453d0df76a28644f554452b54832c00a600036c747935016a4198d39e.m3u8
CCTV-6电影,https://stream1.freetv.fun/4ef9910f0b25f00e6dd8fee4dfa64e36044501c7fa50c1e7f94f4dcdf900d789.m3u8
CCTV-8电视剧,https://stream1.freetv.fun/113f0eb04d33840b7642af563255df49292c8d9c7755bf498df78cb7a315f322.m3u8
CCTV-11戏曲,https://stream1.freetv.fun/6123793b04047f9d1985cdab1ce37c47bee9c9b8668d8e453b5242a2bb62d3f3.m3u8
CCTV-13新闻,https://event.pull.hebtv.com/jishi/cp4.m3u8
CCTV-13新闻,https://stream1.freetv.fun/3a63799dd08492a3543a3676a9029d110e51ad0ce3573faeb844f5dcd6b24767.m3u8
卫视,#genre#

江苏卫视,http://cdn.jdshipin.com:8880/ysp.php?id=jsws

港澳台,#genre#

凤凰中文,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8

凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8

凤凰香港,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8

新闻,#genre#

有线新闻台,https://stream1.freetv.fun/4e24596fde9c243eb4302e394190972407ee674c0c6a06ea6be4e5d349582cbe.m3u8
半岛电视台,https://stream1.freetv.fun/53038c1b820c78bd02d8b62c558c2940a15f421f8b9110a6fc8da1b271c19f95.m3u8
台视新闻,https://stream1.freetv.fun/6ffb325e878b6ae255f12f6f11aef268b32db0d6b8b43c53fa0041975274cba5.m3u8
